video_id,cleaned_transcript,labels,generated_labels,unigrams,unigram_word_map,segments,GPT_answer
n1LeVCwyHas,back bj game jordan know michael music number pippen practic reggi return scotti time today,"[0, 52, 70, 125]",,"['back bj game', 'jordan know michael', 'music number pippen', 'practic reggi return scotti time today']","{'Segment-1': ['back', 'bj', 'game'], 'Segment-2': ['jordan', 'know', 'michael'], 'Segment-3': ['music', 'number', 'pippen'], 'Segment-4': ['practic', 'reggi', 'return', 'scotti', 'time']}","[['back', 'bj', 'game'], ['jordan', 'know', 'michael'], ['music', 'number', 'pippen'], ['practic', 'reggi', 'return', 'scotti', 'time']]","['Topic: Back BJ Game', 'Topic: Jordan knows Michael.', 'Topic: Music number Pippen.', 'Topic: Practic Reggi Return Scotti Time']"
1CLTZkR8uwY,applaus follow fore incred lot music paradox relax sound speech,"[2, 30, 608]",,"['applaus follow', 'fore incred', 'lot music', 'paradox relax sound speech']","{'Segment-1': ['applaus', 'follow'], 'Segment-2': ['fore', 'incred'], 'Segment-3': ['lot', 'music'], 'Segment-4': ['paradox', 'relax', 'sound', 'speech']}","[['applaus', 'follow'], ['fore', 'incred'], ['lot', 'music'], ['paradox', 'relax', 'sound', 'speech']]","['Topic: Applause follow', 'Topic: Fire and ice.', 'Topic: Lot Music', 'Topic: Paradox of Relaxing Sound in Speech.']"
2ufNOHNc-ag,aint bru cage cate celebr chick im jame kid kj leav lie life music progress save sl slain stay stupid,"[68, 151]",,"['aint bru cage cate celebr', 'chick im jame kid kj', 'leav lie life music progress', 'save sl slain stay stupid']","{'Segment-1': ['aint', 'bru', 'cage', 'cate', 'celebr'], 'Segment-2': ['chick', 'im', 'jame', 'kid', 'kj'], 'Segment-3': ['leav', 'lie', 'life', 'music', 'progress'], 'Segment-4': ['save', 'sl', 'slain', 'stay', 'stupid']}","[['aint', 'bru', 'cage', 'cate', 'celebr'], ['chick', 'im', 'jame', 'kid', 'kj'], ['leav', 'lie', 'life', 'music', 'progress'], ['save', 'sl', 'slain', 'stay', 'stupid']]","['Topic: Paint, cage, cat, celebrate.', 'Topic: Chick im jame kid kj.', 'Topic: Life of Music Progress.', 'Topic: Slain stay stupid.']"
dXCDZMZ8Dks,ahead amp brake fender fuse got headlight hook kit light plastic plate signal tail turn uh went wire,"[2, 30, 375, 1000]",,"['ahead amp brake fender', 'fuse got headlight hook', 'kit light plastic plate', 'signal tail turn uh went wire']","{'Segment-1': ['ahead', 'amp', 'brake', 'fender'], 'Segment-2': ['fuse', 'got', 'headlight', 'hook'], 'Segment-3': ['kit', 'light', 'plastic', 'plate'], 'Segment-4': ['signal', 'tail', 'turn', 'uh', 'went']}","[['ahead', 'amp', 'brake', 'fender'], ['fuse', 'got', 'headlight', 'hook'], ['kit', 'light', 'plastic', 'plate'], ['signal', 'tail', 'turn', 'uh', 'went']]","['Topic: Car components and controls.', 'Topic: Fuse for headlight hook.', 'Topic: Light plastic plate kit.', 'Topic: Signal tail turn.']"
OuTmXDzhO4M,breach care class get go map packag right shot spot tack way your,"[0, 1, 36, 147]",,"['breach care class', 'get go map', 'packag right shot', 'spot tack way your']","{'Segment-1': ['breach', 'care', 'class'], 'Segment-2': ['get', 'go', 'map'], 'Segment-3': ['packag', 'right', 'shot'], 'Segment-4': ['spot', 'tack', 'way', 'your']}","[['breach', 'care', 'class'], ['get', 'go', 'map'], ['packag', 'right', 'shot'], ['spot', 'tack', 'way', 'your']]","['Topic: Breach of Care Class', 'Topic: Get Go Map', 'Topic: Package Right Shot', 'Topic: Spot tracking way.']"
qhATkvKB2ZY,achiev agreement apologet attent caus dissid draw filch freedom gestur govern guy iraq iraqi journalist made minist peac peopl polit presid prime ralli shoe societi sustain threaten threw visit yell,[1046],,"['achiev agreement apologet attent caus dissid draw', 'filch freedom gestur govern guy iraq iraqi', 'journalist made minist peac peopl polit presid', 'prime ralli shoe societi sustain threaten threw visit yell']","{'Segment-1': ['achiev', 'agreement', 'apologet', 'attent', 'caus'], 'Segment-2': ['filch', 'freedom', 'gestur', 'govern', 'guy'], 'Segment-3': ['journalist', 'made', 'minist', 'peac', 'peopl'], 'Segment-4': ['prime', 'ralli', 'shoe', 'societi', 'sustain']}","[['achiev', 'agreement', 'apologet', 'attent', 'caus'], ['filch', 'freedom', 'gestur', 'govern', 'guy'], ['journalist', 'made', 'minist', 'peac', 'peopl'], ['prime', 'ralli', 'shoe', 'societi', 'sustain']]","['Topic: Achieving agreement through attentive causes and apologies.', 'Topic: Gestures of Freedom Governed by Guy Filch.', 'Topic: Journalist made peace.', 'Topic: Prime Ralli Shoe Society Sustain.']"
CKoKke5VtaM,believ club emot enough footbal grate group he honor im ive lad mean play player prove season surviv um vote year yesterday,[12],,"['believ club emot enough footbal', 'grate group he honor im', 'ive lad mean play player', 'prove season surviv um vote year yesterday']","{'Segment-1': ['believ', 'club', 'emot', 'enough', 'footbal'], 'Segment-2': ['grate', 'group', 'he', 'honor', 'im'], 'Segment-3': ['ive', 'lad', 'mean', 'play', 'player'], 'Segment-4': ['prove', 'season', 'surviv', 'um', 'vote']}","[['believ', 'club', 'emot', 'enough', 'footbal'], ['grate', 'group', 'he', 'honor', 'im'], ['ive', 'lad', 'mean', 'play', 'player'], ['prove', 'season', 'surviv', 'um', 'vote']]","['Topic: Believe in football club enough.', 'Topic: Honor within the Grate Group.', 'Topic: Mean play in sports.', 'Topic: Prove season to survive the vote.']"
VNE_pY3szls,applaus music,"[53, 58, 151, 228]",,"['applaus', 'music', '', '']","{'Segment-1': ['applaus'], 'Segment-2': ['music'], 'Segment-3': [], 'Segment-4': []}","[['applaus'], ['music'], [], []]","['Topic: Applause.', 'Topic: Music.', 'Topic: Words and Topics', 'Topic: Technology and Innovation.']"
8v1Dl-kMxhM,music,"[0, 1, 5, 479]",,"['music', '', '', '']","{'Segment-1': ['music'], 'Segment-2': [], 'Segment-3': [], 'Segment-4': []}","[['music'], [], [], []]","['Topic: Music.', 'Topic: Education and learning methods.', 'Topic: Words representing a topic.', 'Topic: Climate Change and Its Impact on Biodiversity.']"
5CCnh6qf994,aint applaus druck everybodi marow music super truck trucker yall yeah,"[4, 9, 10, 34]",,"['aint applaus', 'druck everybodi', 'marow music', 'super truck trucker yall yeah']","{'Segment-1': ['aint', 'applaus'], 'Segment-2': ['druck', 'everybodi'], 'Segment-3': ['marow', 'music'], 'Segment-4': ['super', 'truck', 'trucker', 'yall', 'yeah']}","[['aint', 'applaus'], ['druck', 'everybodi'], ['marow', 'music'], ['super', 'truck', 'trucker', 'yall', 'yeah']]","['Topic: Art performance and audience response.', 'Topic: Druck Everybody', 'Topic: Marow Music', 'Topic: Super truck trucker yall yeah.']"
