video_id,cleaned_transcript,labels,generated_labels
n1LeVCwyHas,back bj game jordan know michael music number pippen practic reggi return scotti time today,"[0, 52, 70, 125]",
1CLTZkR8uwY,applaus follow fore incred lot music paradox relax sound speech,"[2, 30, 608]",
2ufNOHNc-ag,aint bru cage cate celebr chick im jame kid kj leav lie life music progress save sl slain stay stupid,"[68, 151]",
dXCDZMZ8Dks,ahead amp brake fender fuse got headlight hook kit light plastic plate signal tail turn uh went wire,"[2, 30, 375, 1000]",
OuTmXDzhO4M,breach care class get go map packag right shot spot tack way your,"[0, 1, 36, 147]",
qhATkvKB2ZY,achiev agreement apologet attent caus dissid draw filch freedom gestur govern guy iraq iraqi journalist made minist peac peopl polit presid prime ralli shoe societi sustain threaten threw visit yell,[1046],
CKoKke5VtaM,believ club emot enough footbal grate group he honor im ive lad mean play player prove season surviv um vote year yesterday,[12],
VNE_pY3szls,applaus music,"[53, 58, 151, 228]",
8v1Dl-kMxhM,music,"[0, 1, 5, 479]",
5CCnh6qf994,aint applaus druck everybodi marow music super truck trucker yall yeah,"[4, 9, 10, 34]",
PPBpXvoaU50,back bodi boom chine close come control equip go grab idea kick knee lean learn leg move movement music punch stomach teach that understand,[110],
DlXq4DPzDRM,amaz clap everybodi fire hand miller mr say yeah zone,"[8, 14]",
Dnm-AAfxc6Y,ancient doom explor fragl furiou garboil gee go magic maze parti ringbl roll round terribl trash youll,"[5, 16]",
Dp266VgKEo0,adjust area black brush click color delet eras go imag layer mostli okay techniqu um white youll,[3081],
Omhv4Z033tQ,aint applaus danger dont eye fasin fation feel fting hri like look meet music night shi straight time your,[8],
D7xVCv1FjvE,bite come loud nasti rock ye,"[53, 58, 163, 232]",
vW9PfUVQhZA,come go la oh spee,"[8, 13, 89, 164, 175, 201]",
asumZp4Axx4,bbk bbkperformancecom bolt exhaust gasket header instal manifold midpip motor mount reinstal remov shaft steer unbolt xpipe,"[2, 7, 90, 165, 196, 373, 1368]",
L2ac7fWFkc4,angel appear bird born close cre dear duck elliot everi gazel like long love music oh oo roberto romant spell suddenli that togeth toos true,"[5, 16]",
dO_8fECvUg4,dj,"[0, 42, 306]",
33K-TYH_m9g,album artist boy bubl christin moon nina pale pet play rain shop simon street track westlif,"[105, 246, 1296]",
gld6KFjHBV8,fight finish one round two ugh,"[0, 1, 5, 69, 478]",
gnUVlBw2hQc,ariza brandon foul game night piston point steal trevor washington wizard,"[0, 52, 70, 125]",
HgZc2f9qEwg,carbon clean door eleg ensur formul fume nontox oven polish showroom spray sydney technician,"[11, 22, 307, 341, 791, 2461]",
HkdYTu4X0M8,absolut alway assault attach black cuda cuz duti especi gameplay guy insan kind like op peopl rang smg specialist use vmp,"[0, 1, 36]",
TnMiozSZAEg,battlefield better canal choke conquest design detect dice firestorm game helicopt inconsist infantri map tdm vehicl,"[0, 1, 124, 287]",
Ts2wbaYKBnw,bei black dar divers doag dorm dude foo gangster ghetto instructor note paper pimp professor racism rapper say sexual stapl talk today true walk,"[5, 16]",
L8gOQJpAuzc,belong better captiv cri dress emer gallow greatest hang heartach ill life lip love music older soer suicid trap your,[3433],
_K7dsmUp9GY,arent citi earth forc gone greatest hunt jungl left mankind music ruin seph spawn us,"[0, 1, 25, 1604, 1804]",
_LX8tsdp7hs,basket bushel earli fri grow harvest plant potato soil varieti vine,"[126, 220, 276, 506]",
8ZCfYqQJxeQ,glutenfre greasi hair heal keratin know like lonza obsess oil realli shampoo skin sodium stuff,"[50, 65]",
xRjMgLxTB0k,ahead bad boo busi competitor forget hello herebi liver mascara mayb music past reason smi someth suitcas tatter wanna world wrap,"[50, 65]",
0c6CfFpplGA,align also builtin case go groov iphon jack littl phone pressur protector requir screen shell snap solid speaker util wake workmat,"[21, 23, 24, 73, 786]",
b5p2MlCMo0U,acr alway bad black confirm game get go guy kill know lot modern op peopl play realli run situat slow um warfar your,"[0, 1, 36, 142]",
ZZAskJEQcRQ,ah applaus music oh,"[2, 44, 46, 109, 162, 664, 800, 908, 965]",
ZZuHpkgzD7g,advertis bottl bubbl consum drink tap thirsti water,"[62, 259, 1154]",
ZZfvJPBDe1g,accord bc belli buddha emerald ganisha god golden guardian hat histor lanka mapl raavana red six someth statu stori templ vina,"[0, 1, 319]",
gU_J8tHKlFg,birthday cake cosmic creat game good grace happi hope iren lab parent present race simul stupid timothi,"[5, 16]",
gUFAa4uJSuI,achiev attar cannon catapult gold level minotaur need one place slow soon tower upgrad youll,"[0, 1, 1781]",
LV0iWZP7IUY,appli brush charact creas fairi filigre glitter go gold im kind mask onto outlin season silver start teardrop,"[39, 121, 156, 207, 233]",
ezGmnOFjqdI,accept adam campbel career fifa gail go he know like loan look mode offer player scotland squad striker vladimir,"[0, 63]",
N0-y3NWS-5M,cant let music oh,[89],
N2E3fPTuY5A,address anymor app email gift id kid letter receiv send ship,"[99, 518]",
xzi0n0CdKco,batteri better bit brownish calm cgi dpad impress jtown key littl mah mini naka nid origin qwerti slightli steel there theyv yen zomega,"[21, 23, 24, 3716]",
y17WKhB1Ivs,answer anywher attack bro brother final half last minut move neck oh posit quarter quarterfin rever rough seriou sn team that wonder yet york,"[6, 8]",
y2HQwxzML8E,ampl area bulkhead cabin caterpillar compart dine electr ensuit galley helm loo opposit princess saloon teak thruster tv underfoot,"[2, 76, 281, 446]",
GhslKs7scnk,applaus armstead associ blaster coast coordin everybodi ford frank fun good greg gregori hand hard hate havet influx johnni laid lp meridian mississippi motorcycl observ point ride ridg runner sand togeth trail uh vent work,"[17, 19, 55, 143]",
ikCkGGgCIYU,come foreign thank,[3],
UXf0C1JiB1Q,anyhow built butt cnc flight got ive kicker paint sim simul throttl uh um xplane,[1170],
aF-jvxqgVp4,ahead aluminum bike bracket diamet fender go hole instal like littl motorcycl mount nylock okay pad screw soapi strap tighten tire washer,"[2, 30, 1762, 3005]",
aKObne29DsM,brother build equal harmoni live music nation need peac sister tide unit us woman,[14],
-KeV7ShEB8s,audio batteri button cabl camera hv leg lock menu microphon plate plug releas tape tilt tripod zoom,"[146, 158, 279, 439, 454, 1010, 2209]",
1rqnT_-4hzY,music,"[2, 7, 26, 172, 593, 957]",
NbXbu1rP9o8,chang confirm crippl explos god hostil inbound kill oh uav,"[0, 1, 36, 94]",
RA7Z9zxIhtE,appreci atel ball benfica defend fler forward game given goal good histori import injur leagu match option play posit quo receiv saturday season sen surpris think tonight um us win,[12],
T6V6-J_5O6k,axi consid convent direct imag minu mirror neg object plu pole posit sign situat use,[2289],
